% Model,Benchtop_mimic_v1.mph,
% Version,COMSOL 5.3.0.316,
% Date,"Jul 4 2023, 23:21",
% Table,"Table 1 - Point Evaluation 1 (log(u), )",
% mua_ink,"log(u), Point: 5","log(u), Point: 7"
5,0.418322217,0.420146877
10,0.145464868,0.147526798
15,-0.105388493,-0.103094036
20,-0.339032629,-0.336510486
25,-0.558811531,-0.556066732
30,-0.767153805,-0.764191639
35,-0.965881481,-0.962707553
40,-1.156398435,-1.153018715
45,-1.339810693,-1.336231556
50,-1.517006206,-1.513234469
55,-1.688709456,-1.684752409
60,-1.855519871,-1.851385302
65,-2.017939491,-2.013635716
70,-2.176393322,-2.171929203
75,-2.331244579,-2.326629552
